eda_value,eda_Time,windows,intervals,label,confidence,type
0.5992424166979999,2018-12-06 09:38:15+00:00,1,1,unsure,none,none
0.5996061625169999,2018-12-06 09:38:15.250000+00:00,1,1,unsure,none,none
0.5998393435320001,2018-12-06 09:38:15.500000+00:00,1,1,unsure,none,none
0.598471934794,2018-12-06 09:38:15.750000+00:00,1,1,unsure,none,none
0.59538308978,2018-12-06 09:38:16+00:00,1,1,unsure,none,none
0.588487004213,2018-12-06 09:38:16.250000+00:00,1,1,unsure,none,none
0.569908992876,2018-12-06 09:38:16.500000+00:00,1,1,unsure,none,none
0.5567271368360001,2018-12-06 09:38:16.750000+00:00,1,1,unsure,none,none
0.570891677315,2018-12-06 09:38:17+00:00,1,1,unsure,none,none
0.588684650409,2018-12-06 09:38:17.250000+00:00,1,1,unsure,none,none
0.593724313918,2018-12-06 09:38:17.500000+00:00,1,1,unsure,none,none
0.594876752218,2018-12-06 09:38:17.750000+00:00,1,1,unsure,none,none
0.594657097015,2018-12-06 09:38:18+00:00,1,1,unsure,none,none
0.592757259212,2018-12-06 09:38:18.250000+00:00,1,1,unsure,none,none
0.5874112381859999,2018-12-06 09:38:18.500000+00:00,1,1,unsure,none,none
0.572918123604,2018-12-06 09:38:18.750000+00:00,1,1,unsure,none,none
0.530297727797,2018-12-06 09:38:19+00:00,1,1,unsure,none,none
0.4986221645310001,2018-12-06 09:38:19.250000+00:00,1,1,unsure,none,none
0.530967254021,2018-12-06 09:38:19.500000+00:00,1,1,unsure,none,none
0.572500802932,2018-12-06 09:38:19.750000+00:00,1,1,unsure,none,none
0.583973833587,2018-12-06 09:38:20+00:00,1,2,unsure,none,none
0.586420879023,2018-12-06 09:38:20.250000+00:00,1,2,unsure,none,none
0.5868690451690001,2018-12-06 09:38:20.500000+00:00,1,2,unsure,none,none
0.586845649333,2018-12-06 09:38:20.750000+00:00,1,2,unsure,none,none
0.586767060123,2018-12-06 09:38:21+00:00,1,2,unsure,none,none
0.5860738643760001,2018-12-06 09:38:21.250000+00:00,1,2,unsure,none,none
0.584692501515,2018-12-06 09:38:21.500000+00:00,1,2,unsure,none,none
0.582932087255,2018-12-06 09:38:21.750000+00:00,1,2,unsure,none,none
0.579671360571,2018-12-06 09:38:22+00:00,1,2,unsure,none,none
0.573931337109,2018-12-06 09:38:22.250000+00:00,1,2,unsure,none,none
0.5661983366309999,2018-12-06 09:38:22.500000+00:00,1,2,unsure,none,none
